DATE,GFDEBTN_20181129,GFDEBTN_20190410
1/1/93,4230580,4230580
4/1/93,4351950,4351950
7/1/93,4411489,4411489
10/1/93,4535687,4535687
1/1/94,4575869,4575869
4/1/94,4645802,4645802
7/1/94,4692750,4692750
10/1/94,4800150,4800150
1/1/95,4864116,4864116
4/1/95,4951372,4951372
7/1/95,4973983,4973983
10/1/95,4988665,4988665
1/1/96,5117786,5117786
4/1/96,5161076,5161076
7/1/96,5224811,5224811
10/1/96,5323172,5323172
1/1/97,5380890,5380890
4/1/97,5376151,5376151
7/1/97,5413146,5413146
10/1/97,5502388,5502388
1/1/98,5542426,5542426
4/1/98,5547935,5547935
7/1/98,5526193,5526193
10/1/98,5614217,5614217
1/1/99,5651615,5651615
4/1/99,5638780,5638780
7/1/99,5656271,5656271
10/1/99,5776091,5776091
1/1/00,5773392,5773392
4/1/00,5685938,5685938
7/1/00,5674179,5674179
10/1/00,5662216,5662216
1/1/01,5773740,5773740
4/1/01,5726815,5726815
7/1/01,5807464,5807464
10/1/01,5943439,5943439
1/1/02,6006032,6006032
4/1/02,6126469,6126469
7/1/02,6228236,6228236
10/1/02,6405707,6405707
1/1/03,6460776,6460776
4/1/03,6670121,6670121
7/1/03,6783320,6783320
10/1/03,6997964,6997964
1/1/04,7131068,7131068
4/1/04,7274335,7274335
7/1/04,7379053,7379053
10/1/04,7596143,7596143
1/1/05,7776939,7776939
4/1/05,7836496,7836496
7/1/05,7932710,7932710
10/1/05,8170413,8170413
1/1/06,8371156,8371156
4/1/06,8420042,8420042
7/1/06,8506974,8506974
10/1/06,8680224,8680224
1/1/07,8849665,8849665
4/1/07,8867677,8867677
7/1/07,9007653,9007653
10/1/07,9229172,9229172
1/1/08,9437594,9437594
4/1/08,9492006,9492006
7/1/08,10024725,10024725
10/1/08,10699805,10699805
1/1/09,11126941,11126941
4/1/09,11545275,11545275
7/1/09,11909828,11909828
10/1/09,12311349,12311349
1/1/10,12773123,12773123
4/1/10,13201792,13201792
7/1/10,13561622,13561622
10/1/10,14025215,14025215
1/1/11,14270114,14270114
4/1/11,14343087,14343087
7/1/11,14790340,14790340
10/1/11,15222940,15222940
1/1/12,15606518,15606518
4/1/12,15855037,15855037
7/1/12,16066240,16066240
10/1/12,16432730,16432730
1/1/13,16771381,16771381
4/1/13,16738320,16738320
7/1/13,16738180,16738180
10/1/13,17156119,17156119
1/1/14,17601227,17601227
4/1/14,17632606,17632606
7/1/14,17824071,17824071
10/1/14,18141444,18141444
1/1/15,18152056,18152056
4/1/15,18151998,18151998
7/1/15,18150618,18150618
10/1/15,18922179,18922179
1/1/16,19264939,19264939
4/1/16,19381591,19381591
7/1/16,19573445,19573445
10/1/16,19976827,19976827
1/1/17,19846420,19846420
4/1/17,19844554,19844554
7/1/17,20244900,20244900
10/1/17,20492747,20492747
1/1/18,21089643,21089643
4/1/18,21195070,21195070
7/1/18,21516058,21516058
10/1/18,21974096,21974096
